,city,month,temperature_2m_mean_max,temperature_2m_mean_mean,temperature_2m_mean_min,temperature_2m_mean_std,precipitation_sum_max,precipitation_sum_mean,precipitation_sum_min,precipitation_sum_std,wind_speed_10m_max_max,wind_speed_10m_max_mean,wind_speed_10m_max_min,wind_speed_10m_max_std
79,London,2016-08-01,23.8,18.274193548387096,14.8,1.9909742576496707,12.7,1.4419354838709677,0.0,2.985941972370795,36.3,18.68064516129032,9.6,5.8278880883123065
80,London,2016-09-01,23.3,17.336666666666666,13.2,2.3514461190030937,16.6,1.2633333333333334,0.0,3.281345742992877,29.4,18.88333333333333,9.4,6.256973121540331
81,London,2016-10-01,13.8,11.329032258064515,9.1,1.286388626708403,7.5,0.6000000000000001,0.0,1.495103117959873,28.0,17.47741935483871,7.2,5.348501950853114
82,London,2016-11-01,12.7,6.586666666666667,-0.6,2.822414389933864,15.8,2.1700000000000004,0.0,4.470296603597789,33.7,20.75,9.4,6.773617685677583
83,London,2016-12-01,11.3,6.300000000000001,1.1,3.226039884027061,5.4,0.28709677419354834,0.0,0.9989133881319476,35.3,16.53548387096774,5.7,6.953203021490492
84,London,2017-01-01,7.5,2.883870967741936,-1.2,2.9113681519397425,17.8,2.196774193548387,0.0,4.069519535192309,34.1,17.841935483870973,7.4,7.1378696258546865
85,London,2017-02-01,11.6,6.532142857142858,1.3,3.041205118276071,10.7,1.5464285714285715,0.0,2.210326294473811,53.4,24.146428571428572,12.9,8.78397033923925
86,London,2017-03-01,14.4,9.17741935483871,6.1,2.227810536142209,6.9,1.3193548387096774,0.0,2.0693669490673887,41.1,25.49032258064516,10.2,7.798861234766252
87,London,2017-04-01,13.6,9.659999999999998,5.5,1.8113816407029917,2.7,0.4233333333333333,0.0,0.7266756300195898,26.2,18.19,9.5,5.127165648407206
88,London,2017-05-01,18.9,13.819354838709678,9.1,3.1362843573076207,25.5,2.374193548387097,0.0,5.100455387638473,33.2,20.603225806451615,10.5,6.165575608217384
89,London,2017-06-01,23.8,17.56,12.8,2.88738039011859,19.5,2.1266666666666665,0.0,4.3192379063851085,41.9,22.589999999999996,9.4,8.842388115560574
90,London,2017-07-01,21.6,17.919354838709676,15.0,1.8434423153146053,12.8,2.3806451612903223,0.0,3.4054289357669965,33.1,21.54838709677419,12.9,5.583241052037901
91,London,2017-08-01,19.9,16.596774193548384,13.3,1.659615190532179,14.2,2.051612903225806,0.0,3.234488209670059,39.8,20.4,9.1,6.3940597432304305
92,London,2017-09-01,17.7,14.169999999999998,10.6,1.8424402858428144,10.2,2.2800000000000002,0.0,2.508660859969882,42.7,20.9,10.2,8.517568051811583
93,London,2017-10-01,17.1,13.087096774193549,6.2,2.3274796004095464,8.0,0.767741935483871,0.0,1.5593560843660634,42.0,24.574193548387104,9.0,8.432277973831093
94,London,2017-11-01,13.8,7.186666666666667,0.9,3.2334174654299006,8.2,1.2333333333333334,0.0,2.0293252374965007,44.1,19.94,9.4,8.869848189036368
95,London,2017-12-01,10.8,5.158064516129032,-0.9,3.465907691937605,22.4,2.9290322580645163,0.0,5.039986345774301,39.4,23.609677419354842,11.0,9.268238050413885
96,London,2018-01-01,10.7,5.912903225806451,2.6,2.216565201008664,9.3,1.8741935483870968,0.0,2.9500246035059305,49.4,27.293548387096774,11.4,10.32582314665102
97,London,2018-02-01,7.7,2.789285714285714,-3.3,2.63077784381199,6.1,1.1821428571428574,0.0,1.9041968407876346,32.1,23.435714285714287,10.9,6.4853803843844595
98,London,2018-03-01,10.4,5.4161290322580635,-2.0,3.0491634671598646,11.2,3.1548387096774198,0.0,3.1054617165758587,37.6,24.170967741935485,11.3,7.18870380288348
99,London,2018-04-01,17.4,10.706666666666669,5.5,3.1063820105393187,12.1,2.326666666666667,0.0,3.0916944727193982,39.0,22.236666666666665,11.5,7.4254215407255675
100,London,2018-05-01,19.1,13.987096774193548,8.3,2.715233806443915,16.3,1.9870967741935486,0.0,3.5568470996547745,32.7,18.619354838709675,10.3,6.257817476556221
101,London,2018-06-01,20.2,16.996666666666666,14.5,1.820474234033981,4.6,0.3866666666666667,0.0,0.9171670525585022,35.7,19.18,11.0,5.791218084008901
102,London,2018-07-01,25.4,21.006451612903227,17.7,2.043842049322952,6.7,1.1193548387096774,0.0,2.1062477465608063,44.1,19.006451612903227,8.7,8.492150708502175
103,London,2018-08-01,24.4,18.190322580645162,13.3,2.97325353092194,12.9,1.970967741935484,0.0,3.502113033430636,32.0,19.60322580645161,10.6,5.806748021108301
104,London,2018-09-01,19.2,14.646666666666665,9.7,2.929014584596944,13.3,1.1633333333333333,0.0,2.7991973397969705,43.3,21.39666666666666,8.3,9.585926585664378
105,London,2018-10-01,20.7,11.506451612903225,4.8,3.7927945268074628,16.3,1.132258064516129,0.0,3.214175591218189,37.4,20.774193548387096,9.9,6.220609173917267
106,London,2018-11-01,12.3,8.443333333333333,0.6,2.9881009230674893,7.4,1.7399999999999998,0.0,2.4678065089299936,43.3,23.276666666666667,11.2,8.25994419841439
107,London,2018-12-01,12.9,7.12258064516129,1.3,2.8488254512365097,10.4,2.106451612903226,0.0,3.1097626365872335,39.3,21.85806451612903,5.8,9.099698683419811
108,London,2019-01-01,9.5,3.609677419354839,-0.8,2.812632792564015,9.5,0.8709677419354839,0.0,1.8683671210243267,36.7,19.870967741935484,9.2,7.559990897189718
109,London,2019-02-01,9.3,6.632142857142857,0.8,2.3379404629856615,14.9,2.075,0.0,3.8944048183116364,42.2,22.557142857142853,10.2,8.970008818337817
